"Tribunal";"Codigo orgao";"Municipio";"UF";"Nome orgao";"Grau";"CP_Feb_2023";"CP_Feb_2024";"%CP";"Sus_Feb_2023";"Sus_Feb_2024";"%Sus";"CN_12_meses";"Tbaix_12_meses";"Desp_12_meses";"DecInc_12_meses";"SentCM_12_meses";"SentSM_12_meses";"ProcSM100_Feb_2024";"Conc100_Feb_2024";"TPSent_12_meses";"TPCPL_Feb_2024";"TCL_Feb_2024";"IAD_12_meses"
"TJRN";5968;"SAO GONCALO DO AMARANTE";"RN";"(INATIVO) 2ª VARA CÍVEL DA COMARCA DE SÃO GONÇALO DO AMARANTE";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"31 anos e 11 meses";"100%";
"TJRN";5645;"CEARA-MIRIM";"RN";"(INATIVO) 2ª VARA CÍVEL DA COMARCA DE CEARÁ-MIRIM";"G1";"6";"3";"-50,0%";"1";"1";"0,0%";"0";"0";"0";"0";"0";"0";"1";"0";;"24 anos e 8 meses";"100%";
"TJRN";5984;"JANDUIS";"RN";"(AGREGADA) VARA ÚNICA DA COMARCA DE JANDUÍS";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"22 anos e 3 meses";"100%";
"TJRN";5967;"SAO GONCALO DO AMARANTE";"RN";"(INATIVO) 1ª VARA CÍVEL DA COMARCA DE SÃO GONÇALO DO AMARANTE";"G1, JE";"10";"5";"-50,0%";"1";"1";"0,0%";"0";"1";"0";"0";"0";"0";"1";"1";;"18 anos e 1 Mes";"75%";
"TJRN";5677;"JOAO CAMARA";"RN";"(INATIVO) VARA CRIMINAL DA COMARCA DE JOÃO CÂMARA";"G1, JE";"2";"1";"-50,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"1";"0";;"16 anos e 11 meses";"100%";
"TJRN";4838;"NATAL";"RN";"(INATIVO) 2ª VARA DE PRECATÓRIAS DA COMARCA DE NATAL";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"16 anos e 7 meses";"100%";
"TJRN";5683;"MACAU";"RN";"(INATIVO) VARA CÍVEL E DE INFÂNCIA E JUVENTUDE DA COMARCA DE MACAU";"G1, JE";"34";"25";"-26,5%";"0";"3";;"0";"4";"0";"0";"0";"0";"11";"2";;"14 anos e 8 meses";"85%";
"TJRN";5650;"CURRAIS NOVOS";"RN";"(INATIVO) VARA CÍVEL DA COMARCA DE CURRAIS NOVOS";"G1";"132";"28";"-78,8%";"126";"24";"-81,0%";"0";"0";"0";"0";"0";"0";"1";"0";;"14 anos e 7 meses";"100%";
"TJRN";5860;"MACAIBA";"RN";"(INATIVO) VARA CRIMINAL DA COMARCA DE MACAÍBA";"G1";"4";"1";"-75,0%";"2";"0";"-100,0%";"0";"0";"0";"0";"0";"0";"0";"0";;"14 anos e 1 Mes";"100%";
"TJRN";5687;"MACAU";"RN";"(INATIVO) VARA CRIMINAL DA COMARCA DE MACAU";"G1";"2";"1";"-50,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"1";"0";;"13 anos e 7 meses";"100%";
"TJRN";4749;"NATAL";"RN";"(INATIVO) 19ª VARA CÍVEL DA COMARCA DE NATAL";"G1";"8";"4";"-50,0%";"3";"1";"-66,7%";"0";"0";"0";"0";"0";"0";"0";"0";;"12 anos e 2 meses";"100%";
"TJRN";5627;"AÇU";"RN";"(INATIVO) VARA CRIMINAL DA COMARCA DE AÇU";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"1";"0";;"11 anos e 10 meses";"100%";
"TJRN";5642;"CEARA-MIRIM";"RN";"(INATIVO) 1ª VARA CÍVEL DA COMARCA DE CEARÁ-MIRIM";"G1";"15";"7";"-53,3%";"2";"1";"-50,0%";"0";"1";"0";"0";"0";"0";"3";"0";;"11 anos e 9 meses";"86%";
"TJRN";5815;"NOVA CRUZ";"RN";"(INATIVO) VARA CÍVEL E DE INFÂNCIA E JUVENTUDE DA COMARCA DE NOVA CRUZ";"G1";"7";"5";"-28,6%";"2";"2";"0,0%";"0";"0";"0";"0";"0";"0";"2";"0";;"11 anos e 4 meses";"100%";
"TJRN";5969;"SAO GONCALO DO AMARANTE";"RN";"(INATIVO) VARA CRIMINAL DA COMARCA DE SÃO GONÇALO DO AMARANTE";"G1";"3";"3";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"2";"0";;"11 anos e 1 Mes";"100%";
"TJRN";5525;"NATAL";"RN";"(INATIVO) 7ª VARA DE FAMÍLIA DA COMARCA DE NATAL";"G1";"2";"1";"-50,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"1";"0";;"10 anos e 11 meses";"100%";
"TJRN";5595;"NATAL";"RN";"(INATIVO) 3ª VARA CRIMINAL DO DISTRITO JUDICIÁRIO DA ZONA SUL DA COMARCA DE NATAL";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"1";"0";;"10 anos e 6 meses";"100%";
"TJRN";5857;"MACAIBA";"RN";"(INATIVO) 1ª VARA CÍVEL DA COMARCA DE MACAÍBA";"G1";"3";"2";"-33,3%";"1";"1";"0,0%";"0";"0";"0";"0";"0";"0";"0";"0";;"10 anos e 4 meses";"100%";
"TJRN";5896;"SANTA CRUZ";"RN";"(INATIVO) VARA CÍVEL DA COMARCA DE SANTA CRUZ";"G1";"10";"7";"-30,0%";"1";"2";"100,0%";"0";"0";"0";"0";"0";"0";"3";"0";;"10 anos e 2 meses";"100%";
"TJRN";5821;"PAU DOS FERROS";"RN";"(INATIVO) 1ª VARA CÍVEL DA COMARCA DE PAU DOS FERROS";"G1";"5";"5";"0,0%";"0";"1";;"0";"0";"0";"0";"0";"0";"1";"0";;"9 anos e 10 meses";"100%";
"TJRN";5614;"AÇU";"RN";"(INATIVO) 1ª VARA CÍVEL DA COMARCA DE AÇU";"G1";"10";"8";"-20,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"2";"0";;"9 anos e 9 meses";"100%";
"TJRN";5829;"APODI";"RN";"(INATIVO) VARA CÍVEL DA COMARCA DE APODI";"G1";"27";"15";"-44,4%";"6";"5";"-16,7%";"0";"0";"0";"0";"0";"0";"0";"0";;"9 anos e 6 meses";"100%";
"TJRN";5566;"NATAL";"RN";"(INATIVO) 8ª VARA DE FAMÍLIA DA COMARCA DE NATAL";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"9 anos e 6 meses";"100%";
"TJRN";5988;"NISIA FLORESTA";"RN";"VARA ÚNICA DA COMARCA DE NÍSIA FLORESTA";"G1, JE";"417";"215";"-48,4%";"89";"75";"-15,7%";"0";"15";"0";"0";"0";"0";"9";"0";;"9 anos e 1 Mes";"90%";
"TJRN";5563;"NATAL";"RN";"(INATIVO) 9ª VARA DE FAMÍLIA DA COMARCA DE NATAL";"G1";"2";"2";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"1";"0";;"9 anos";"100%";
"TJRN";5629;"ALMINO AFONSO";"RN";"(INATIVO) 1ª VARA CÍVEL DA COMARCA DE CAICÓ";"G1";"5";"5";"0,0%";"2";"3";"50,0%";"0";"0";"0";"0";"0";"0";"0";"0";;"8 anos e 10 meses";"100%";
"TJRN";5976;"ARES";"RN";"(AGREGADA) VARA ÚNICA DA COMARCA DE AREZ";"G1, JE";"16";"14";"-12,5%";"0";"0";;"0";"0";"4";"0";"0";"0";"10";"1";;"8 anos e 9 meses";"100%";
"TJRN";4832;"NATAL";"RN";"(INATIVO) 10ª VARA CRIMINAL DA COMARCA DE NATAL";"G1";"2";"2";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"1";"0";;"8 anos e 6 meses";"100%";
"TJRN";4825;"NATAL";"RN";"(INATIVO) 7ª VARA CRIMINAL DA COMARCA DE NATAL";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"8 anos e 6 meses";"100%";
"TJRN";5899;"SANTA CRUZ";"RN";"(INATIVO) VARA CRIMINAL DA COMARCA DE SANTA CRUZ";"G1";"2";"1";"-50,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"8 anos e 2 meses";"100%";
"TJRN";6000;"TAIPU";"RN";"(AGREGADA) VARA ÚNICA DA COMARCA DE TAIPU";"G1, JE";"8";"5";"-37,5%";"0";"0";;"0";"1";"0";"0";"0";"0";"0";"0";;"8 anos e 1 Mes";"83%";
"TJRN";5837;"AREIA BRANCA";"RN";"(INATIVO) VARA CÍVEL DA COMARCA DE AREIA BRANCA";"G1, JE";"12";"12";"0,0%";"1";"3";"200,0%";"0";"0";"0";"0";"0";"0";"0";"0";;"8 anos";"100%";
"TJRN";5669;"JOAO CAMARA";"RN";"(INATIVO) VARA CÍVEL E DE INFÂNCIA E JUVENTUDE DA COMARCA DE JOÃO CÂMARA";"G1";"6";"2";"-66,7%";"0";"0";;"0";"1";"0";"0";"0";"0";"0";"0";;"7 anos e 9 meses";"50%";
"TJRN";5974;"AFONSO BEZERRA";"RN";"(AGREGADA) VARA ÚNICA DA COMARCA DE AFONSO BEZERRA";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"7 anos e 8 meses";"100%";
"TJRN";5536;"NATAL";"RN";"(INATIVO) 2ª VARA CRIMINAL DO DISTRITO JUDICIÁRIO DA ZONA NORTE DA COMARCA DE NATAL";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"7 anos e 4 meses";"100%";
"TJRN";5540;"NATAL";"RN";"(INATIVO) 4ª VARA CRIMINAL DO DISTRITO JUDICIÁRIO DA ZONA NORTE DA COMARCA DE NATAL";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"6 anos e 11 meses";"100%";
"TJRN";4752;"NATAL";"RN";"(INATIVO) 20ª VARA CÍVEL DA COMARCA DE NATAL";"G1";"6";"2";"-66,7%";"2";"1";"-50,0%";"0";"1";"0";"0";"0";"0";"0";"0";;"6 anos e 10 meses";"50%";
"TJRN";5999;"SERRA NEGRA DO NORTE";"RN";"(AGREGADA) VARA ÚNICA DA COMARCA DE SERRA NEGRA DO NORTE";"G1, JE";"4";"1";"-75,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"6 anos e 6 meses";"100%";
"TJRN";4779;"NATAL";"RN";"(INATIVO) VARA DE SUCESSÕES DA COMARCA DE NATAL";"G1";"1";"1";"0,0%";"0";"0";;"0";"0";"0";"0";"0";"0";"0";"0";;"6 anos e 2 meses";"100%";
"TJRN";4770;"NATAL";"RN";"4ª VARA DE EXECUÇÃO FISCAL E TRIBUTÁRIA DA COMARCA DE NATAL";"G1, JE";"13.698";"11.636";"-15,1%";"3.955";"5.263";"33,1%";"215";"2.270";"5.988";"8.342";"1.610";"661";"587";"6";"7 anos e 1 Mes";"5 anos e 8 meses";"74%";"1.056%"
"TJRN";4776;"NATAL";"RN";"5ª VARA DE EXECUÇÃO FISCAL E TRIBUTÁRIA DA COMARCA DE NATAL";"G1, JE";"14.295";"12.137";"-15,1%";"4.141";"5.198";"25,5%";"256";"2.375";"6.660";"5.872";"1.489";"851";"564";"1";"7 anos e 10 meses";"5 anos e 8 meses";"74%";"928%"
"TJRN";5990;"PEDRO VELHO";"RN";"(AGREGADA) VARA ÚNICA DA COMARCA DE PEDRO VELHO";"G1, JE";"3";"2";"-33,3%";"0";"0";;"0";"0";"8";"0";"0";"0";"2";"0";;"5 anos e 3 meses";"100%";
