quem_faz;tipo;codigo;Movimento
magistrado;Cooperação Judiciária;15185;em cooperação judiciária
magistrado;Decisão;3;Decisão ou Despacho
magistrado;Decisão;15162;Embargos de declaração acolhidos
magistrado;Decisão;133;Decisão ou Despacho Acolhimento de exceção
magistrado;Decisão;335;Acolhida a exceção de pré-executividade
magistrado;Decisão;940;Acolhida a exceção de Impedimento ou Suspeição
magistrado;Decisão;371;Acolhida a exceção de Incompetência
magistrado;Decisão;15163;Embargos de declaração acolhidos em parte
magistrado;Decisão;15366;Acolhida em parte a exceção de pré-executividade
magistrado;Decisão;83;Determinado o cancelamento da distribuição
magistrado;Decisão;817;Concessão
magistrado;Decisão;12149;Detração/remição concedida
magistrado;Decisão;787;Concedida a gratuidade da justiça a  
magistrado;Decisão;11554;Concedido o indulto a  
magistrado;Decisão;818;Concedida a Liberdade provisória de  
magistrado;Decisão;339;Concedida a Medida Liminar
magistrado;Decisão;819;Concedido o Livramento condicional
magistrado;Decisão;14682;Concedida Medida Cautelar Diversa da Prisão de #{tipo_de_medida_cautelar_diversa_da_prisao}
magistrado;Decisão;12148;Concedida a prisão domiciliar a  
magistrado;Decisão;12308;Concedida a substituição/sucessão de parte
magistrado;Decisão;151;Decisão ou Despacho Concessão de efeito suspensivo
magistrado;Decisão;383;Decisão ou Despacho Concessão de efeito suspensivo Impugnação ao cumprimento de sentença
magistrado;Decisão;381;Concedido efeito suspensivo a Recurso
magistrado;Decisão;888;Decisão ou Despacho Concessão em parte
magistrado;Decisão;15103;Gratuidade da justiça concedida em parte a  
magistrado;Decisão;892;Concedida em parte a Medida Liminar
magistrado;Decisão;7;Convertido(a) o(a)
magistrado;Decisão;266;Convertido(a) o(a) Julgamento em Diligência
magistrado;Decisão;821;Convertido(a) o(a) Pena / Medida
magistrado;Decisão;12140;Convertida a prisão em flagrante em prisão preventiva
magistrado;Decisão;12387;Decisão de Saneamento e de Organização do Processo
magistrado;Decisão;12185;Decisão Interlocutória de Mérito
magistrado;Decisão;11;Decisão ou Despacho Declaração
magistrado;Decisão;12150;Declarado impedimento por #{nome_do_magistrado}
magistrado;Decisão;269;Declarado impedimento ou suspeição
magistrado;Decisão;941;Declarada incompetência
magistrado;Decisão;12151;Declarada suspeição por #{nome_do_magistrado}
magistrado;Decisão;113;Decisão ou Despacho Decretação de Prisão Civil
magistrado;Decisão;355;Decretada a prisão de depositário infiel  
magistrado;Decisão;12307;Decretada a revelia
magistrado;Decisão;12444;Deferido o pedido de  
magistrado;Decisão;15086;Deferido em parte o pedido de  
magistrado;Decisão;122;Decisão ou Despacho Desacolhimento de Prisão
magistrado;Decisão;12147;Desacolhida a prisão domiciliar de  
magistrado;Decisão;1013;Decisão Determinação
magistrado;Decisão;11382;Determinado o bloqueio/penhora on line
magistrado;Decisão;1063;Determinado o Arquivamento
magistrado;Decisão;15085;Determinada a emenda à inicial
magistrado;Decisão;12457;Determinada expedição de Precatório/RPV
magistrado;Decisão;12038;Determinada a quebra do sigilo bancário
magistrado;Decisão;12037;Determinada a quebra do sigilo fiscal
magistrado;Decisão;12039;Determinada a quebra do sigilo telemático
magistrado;Decisão;12255;Determinação de redistribuição por prevenção
