quem_faz;codigo;Movimento
Serventuário ;14;
Arquivista;865;Atos praticados pelo arquivista
Arquivista;870;Autos Eliminados
Arquivista;869;Entrega Definitiva dos Autos a  
Arquivista;866;Arquivo em Guarda Intermediária
Arquivista;867;Arquivo em Guarda permanente
Arquivista;977;Recebimento pelo Arquivo
Arquivista;978;Remessa do Arquivo para #{destino}
Auxiliar da Justiça;12522;Atos de Auxiliar da Justiça
Auxiliar da Justiça;12523;Atos de Conciliador
Auxiliar da Justiça;12528;Atos de conciliação
Auxiliar da Justiça;12531;Conciliação frutífera
Auxiliar da Justiça;12532;Conciliação infrutífera
Auxiliar da Justiça;12608;Conciliação parcial
Auxiliar da Justiça;12524;Atos de Juiz Leigo
Auxiliar da Justiça;12525;Atos de mediador
Auxiliar da Justiça;12535;Conciliação frutífera
Auxiliar da Justiça;12536;Conciliação infrutífera
Auxiliar da Justiça;12610;Conciliação parcial
Auxiliar da Justiça;12527;Atos de mediação
Auxiliar da Justiça;12540;Mediação frutífera
Auxiliar da Justiça;12539;Mediação infrutífera
Auxiliar da Justiça;12611;Mediação parcial
Contador;15;
Contador;16;realizado cálculo de
Contador;480;Conta Atualizada
Contador;478;Realizado Cálculo de Liquidação
Contador;979;Recebidos os Autos pela Contadoria
Contador;980;Remetidos os autos da Contadoria ao #{destino}.
Distribuidor;18;
Distribuidor;12297;Atribuição de competência temporária
Distribuidor;22;Baixa Definitiva
Distribuidor;26;Distribuído por #{tipo_de_distribuicao_redistribuicao}
Distribuidor;981;Recebido pelo Distribuidor
Distribuidor;36;Redistribuído por #{tipo_de_distribuicao_redistribuicao} em razão de #{motivo_da_redistribuicao}
Distribuidor;12296;Registrado para #{motivos_de_registro}
Distribuidor;982;Remetidos os Autos (#{motivo_da_remessa}) da Distribuição ao #{destino}
Escrivão/Diretor de Secretaria/Secretário Jurídico;48;Ato praticado por Escrivão/Diretor de Secretaria/Secretário Jurídico
Escrivão/Diretor de Secretaria/Secretário Jurídico;135;Apensado ao processo #{numero_do_processo}
Escrivão/Diretor de Secretaria/Secretário Jurídico;861;Processo Arquivado
Escrivão/Diretor de Secretaria/Secretário Jurídico;14997;Processo arquivado provisoriamente aguardando a captura de réu/condenado
Escrivão/Diretor de Secretaria/Secretário Jurídico;246;Arquivado Definitivamente
Escrivão/Diretor de Secretaria/Secretário Jurídico;245;Arquivado Provisoramente
Escrivão/Diretor de Secretaria/Secretário Jurídico;12292;Ato cumprido pela parte ou interessado
Escrivão/Diretor de Secretaria/Secretário Jurídico;12293;Ato cumprido pela parte ou interessado
Escrivão/Diretor de Secretaria/Secretário Jurídico;12294;Ato cumprido pela parte ou interessado - Comparecimento do Réu/Apenado
Escrivão/Diretor de Secretaria/Secretário Jurídico;12295;Ato cumprido pela parte ou interessado - depósito de bens/dinheiro
Escrivão/Diretor de Secretaria/Secretário Jurídico;11383;Ato ordinatório praticado
Escrivão/Diretor de Secretaria/Secretário Jurídico;970;Audiência #{tipo_de_audiencia} #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12739;Audiência admonitória #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;15188;Audiência de depoimento especial #conduzida por {dirigida_por} #{situacao_da_audiencia} para #{data_hora} #{local}. .
Escrivão/Diretor de Secretaria/Secretário Jurídico;12624;Audiência do art. 334 CPC #conduzida por {dirigida_por} #{situacao_da_audiencia} para #{data_hora} #{local}. .
Escrivão/Diretor de Secretaria/Secretário Jurídico;12740;Audiência de conciliação #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12742;Audiência de custódia #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12749;Audiência de instrução #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12750;Audiência de instrução e julgamento #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12743;Audiência de interrogatório #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12751;Audiência de julgamento #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12744;Audiência de justificação #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12752;Audiência de mediação #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12746;Audiência em execução #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12753;Audiência preliminar #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12260;Autos restaurados em #{data}
Escrivão/Diretor de Secretaria/Secretário Jurídico;1052;Bens Apreendidos -
Escrivão/Diretor de Secretaria/Secretário Jurídico;1055;Cadastramento de Bens Apreendidos
Escrivão/Diretor de Secretaria/Secretário Jurídico;1053;Destinação de Bens Apreendidos
Escrivão/Diretor de Secretaria/Secretário Jurídico;1054;Destinação Parcial de Bens Apreendidos
Escrivão/Diretor de Secretaria/Secretário Jurídico;12289;Cancelamento
Escrivão/Diretor de Secretaria/Secretário Jurídico;15168;Cancelada a liquidação, cumprimento de sentença ou execução por nulidade da fase de conhecimento
Escrivão/Diretor de Secretaria/Secretário Jurídico;12290;Cancelado o documento
Escrivão/Diretor de Secretaria/Secretário Jurídico;12291;Cancelada a movimentação processual #{movimento_cancelado}
Escrivão/Diretor de Secretaria/Secretário Jurídico;12186;Cancelada a Distribuição
Escrivão/Diretor de Secretaria/Secretário Jurídico;12284;Citação
Escrivão/Diretor de Secretaria/Secretário Jurídico;12286;Citação eletrônica
Escrivão/Diretor de Secretaria/Secretário Jurídico;12288;Confirmada a citação eletrônica
Escrivão/Diretor de Secretaria/Secretário Jurídico;12287;Expedida/certificada a citação eletrônica
Escrivão/Diretor de Secretaria/Secretário Jurídico;15246;Não confirmada a citação eletrônica
Escrivão/Diretor de Secretaria/Secretário Jurídico;12285;Citado em Secretaria/Comparecimento Espontâneo
Escrivão/Diretor de Secretaria/Secretário Jurídico;12281;Cominicação eletrônica
Escrivão/Diretor de Secretaria/Secretário Jurídico;12283;Confirmada a comunicação eletrônica
Escrivão/Diretor de Secretaria/Secretário Jurídico;14961;Erro ou recusa na comunicação
Escrivão/Diretor de Secretaria/Secretário Jurídico;12282;Expedida/certificada a comunicação eletrôinica
Escrivão/Diretor de Secretaria/Secretário Jurídico;51;Conclusos #{tipo_de_conclusao}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14732;Convertidos os autos físicos em eletrônicos
Escrivão/Diretor de Secretaria/Secretário Jurídico;15186;em cooperação judiciária
Escrivão/Diretor de Secretaria/Secretário Jurídico;12276;Cumprimento da pena
Escrivão/Diretor de Secretaria/Secretário Jurídico;12278;Cumprimento da Pena - Fim
Escrivão/Diretor de Secretaria/Secretário Jurídico;12277;Cumprimento da Pena - Início
Escrivão/Diretor de Secretaria/Secretário Jurídico;12280;Cumprimento da Pena - Interrupção
Escrivão/Diretor de Secretaria/Secretário Jurídico;12066;Levantada a suspensão ou sobrestamento dos autos
Escrivão/Diretor de Secretaria/Secretário Jurídico;12065;Autos Suspensos ou Sobrestados
Escrivão/Diretor de Secretaria/Secretário Jurídico;1051;Decorrido prazo de   em #{data}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;137;Desapensado do processo #{numero_do_processo}
Escrivão/Diretor de Secretaria/Secretário Jurídico;893;Processo Desarquivado
Escrivão/Diretor de Secretaria/Secretário Jurídico;12269;Desentranhamento
Escrivão/Diretor de Secretaria/Secretário Jurídico;12270;Desentranhado o documento
Escrivão/Diretor de Secretaria/Secretário Jurídico;12271;Desentranhada a petição
Escrivão/Diretor de Secretaria/Secretário Jurídico;11008;Desmembrado o feito
Escrivão/Diretor de Secretaria/Secretário Jurídico;1061;Disponibilizado no DJ Eletrônico em #(data)
Escrivão/Diretor de Secretaria/Secretário Jurídico;12189;Documento entregue
Escrivão/Diretor de Secretaria/Secretário Jurídico;493;Autos entregues em carga ao #{destinatario}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;14739;Evoluída a classe de #{classe_anterior} para #{classe_nova}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14737;Autos excluídos do Juizo 100% Digital
Escrivão/Diretor de Secretaria/Secretário Jurídico;11385;Execução ou cumprimento de sentença Iniciada (o)
Escrivão/Diretor de Secretaria/Secretário Jurídico;60;Expedição de #{tipo_de_documento}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;15000;Finalizada Tramitação Direta entre MP e Autoridade Policial
Escrivão/Diretor de Secretaria/Secretário Jurídico;12101;Autos incluídos para julgamento eletrônico
Escrivão/Diretor de Secretaria/Secretário Jurídico;14736;Autos incluídos no Juízo 100% Digital
Escrivão/Diretor de Secretaria/Secretário Jurídico;14999;Iniciada a tramitação direta entre MP e autoridade policial
Escrivão/Diretor de Secretaria/Secretário Jurídico;12263;Intimação
Escrivão/Diretor de Secretaria/Secretário Jurídico;12264;Intimação eletrônica
Escrivão/Diretor de Secretaria/Secretário Jurídico;12266;Confirmada a intimação eletrônica
Escrivão/Diretor de Secretaria/Secretário Jurídico;12265;Expedida/certificada a intimação eletrônica
Escrivão/Diretor de Secretaria/Secretário Jurídico;12267;Intimado em audiência
Escrivão/Diretor de Secretaria/Secretário Jurídico;12268;Intimado em Secretaria
Escrivão/Diretor de Secretaria/Secretário Jurídico;67;juntada de
Escrivão/Diretor de Secretaria/Secretário Jurídico;581;Juntada de #{tipo_de_documento}
Escrivão/Diretor de Secretaria/Secretário Jurídico;85;Juntada de Petição de #{tipo_de_peticao}
Escrivão/Diretor de Secretaria/Secretário Jurídico;311;Leilão ou Praça #{situacao_da_audiencia} em/para #{data_hora} #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;14974;Levantada a causa suspensiva ou de sobrestamento
Escrivão/Diretor de Secretaria/Secretário Jurídico;14982;Levantada a Causa Suspensiva ou de Sobrestamento - Suspensão / Sobrestamento Determinada por Ação de Controle Conc. de Constitucionalidade - STF #{classe_acao_controle_constitucionalida_STF} de número #{numero_classe_controle_constitucionalidade}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14981;Levantada a Causa Suspensiva ou de Sobrestamento - Suspensão / Sobrestamento Determinada por Controvérsia número #{numero_controversia}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14977;Levantada Causa Suspensiva ou de Sobrestamento - Suspensão / Sobrestamento Determinada por Decisão do Presidente do STF - SIRDR número #{numero_da_SIRDR}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14978;Levantada a Causa Suspensiva ou de Sobrestamento - Suspensão / Sobrestamento Determinada por Decisão do Presidente do STJ - SIRDR de número #{numero_da_SIRDR}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14980;Levantada a Causa Suspensiva ou de Sobrestamento - Suspensão / Sobrestamento Determinada por Grupo de Representativos do #{sigla_tribunal} de número #{numero_grupo_de_representativos}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14979;Levantada a Causa Suspensiva de Suspensão ou de Sobrestamento - Suspensão/Sobrestamento Determinada por Incidente de Assunção de Competência - IAC do #{sigla_tribunal} de número #{numero_tema_IAC}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14985;Levantada a Causa Suspensiva ou de Sobrestamento - Suspensão / Sobrestamento por Incidente de Resolução de Demandas Repetitivas de número #{numero_tema_IRDR}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14976;Levantada a Causa Suspensiva ou de Sobrestamento - Suspensão / Sobrestamento por Recurso Especial Repetitivo de número #{numero_tema_repetitivo}
Escrivão/Diretor de Secretaria/Secretário Jurídico;14975;Levantada a Causa Suspensiva ou de Sobrestamento - Suspensão / Sobrestamento por Recurso Extraordinário com Repercussão Geral de número #{numero_tema_RG}
Escrivão/Diretor de Secretaria/Secretário Jurídico;12143;Alterado o assunto processual
Escrivão/Diretor de Secretaria/Secretário Jurídico;12142;Alterada a parte
Escrivão/Diretor de Secretaria/Secretário Jurídico;12103;Pauta
Escrivão/Diretor de Secretaria/Secretário Jurídico;12106;Adiamento do Julgamento (Art. 935 do CPC)
Escrivão/Diretor de Secretaria/Secretário Jurídico;12104;Inclusão em Pauta
Escrivão/Diretor de Secretaria/Secretário Jurídico;12115;Inclusão em pauta para julgamento de mérito
Escrivão/Diretor de Secretaria/Secretário Jurídico;12309;Retirada de pauta
Escrivão/Diretor de Secretaria/Secretário Jurídico;14901;Perícia
Escrivão/Diretor de Secretaria/Secretário Jurídico;14904;Perícia agendada
Escrivão/Diretor de Secretaria/Secretário Jurídico;14906;Perícia cancelada
Escrivão/Diretor de Secretaria/Secretário Jurídico;14903;Perícia determinada ou designada
Escrivão/Diretor de Secretaria/Secretário Jurídico;14908;Perícia não realizada
Escrivão/Diretor de Secretaria/Secretário Jurídico;14907;Perícia reagendada
Escrivão/Diretor de Secretaria/Secretário Jurídico;14905;Perícia realizada
Escrivão/Diretor de Secretaria/Secretário Jurídico;118;Protocolizada Petição
Escrivão/Diretor de Secretaria/Secretário Jurídico;92;Publicado #{ato_publicado} em #{data}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12759;Realizado o Procedimento restaurativo #Tipo_Procedimento_Restaurativo em #data_hora em #local
Escrivão/Diretor de Secretaria/Secretário Jurídico;849;Processo Reativado
Escrivão/Diretor de Secretaria/Secretário Jurídico;132;Recebidos os autos
Escrivão/Diretor de Secretaria/Secretário Jurídico;12623;Autos recebidos da Câmara de Conciliação/Mediação
Escrivão/Diretor de Secretaria/Secretário Jurídico;12619;Recebidos os autos do CEJUSC ou Centro de Conciliação/Mediação
Escrivão/Diretor de Secretaria/Secretário Jurídico;12607;Recebidos os autos do consumidor.gov.br
Escrivão/Diretor de Secretaria/Secretário Jurídico;12621;Recebidos os autos.
Escrivão/Diretor de Secretaria/Secretário Jurídico;123;Remetidos os Autos (#{motivo_da_remessa}) para #{destino}
Escrivão/Diretor de Secretaria/Secretário Jurídico;12618;Autos remetidos ao CEJUSC
Escrivão/Diretor de Secretaria/Secretário Jurídico;12606;Remetidos os autos para o consumidor.gov.br
Escrivão/Diretor de Secretaria/Secretário Jurídico;12622;Remetido para Câmara de Conciliação/Mediação
Escrivão/Diretor de Secretaria/Secretário Jurídico;12614;Remetidos os Autos ao CEJUSC ou Centros de Conciliação/Mediação #{destino}
Escrivão/Diretor de Secretaria/Secretário Jurídico;928;Republicado #{ato_publicado} em #{data}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12165;Movimentos referentes à requisição de pagamento
Escrivão/Diretor de Secretaria/Secretário Jurídico;12173;Requisição de pagamento de pequeno valor minutada
Escrivão/Diretor de Secretaria/Secretário Jurídico;12177;Requisição de pagamento de pequeno valor cancelada
Escrivão/Diretor de Secretaria/Secretário Jurídico;12174;Requisição de pagamento de pequeno valor enviada ao Tribunal.
Escrivão/Diretor de Secretaria/Secretário Jurídico;12176;Requisição de pagamento de pequeno valor paga
Escrivão/Diretor de Secretaria/Secretário Jurídico;12175;Requisição de pagamento de pequeno valor preparada para envio
Escrivão/Diretor de Secretaria/Secretário Jurídico;12178;Requisição de pagamento de pequeno valor retificada
Escrivão/Diretor de Secretaria/Secretário Jurídico;12179;Requisição de pagamento de pequeno valor suspensa
Escrivão/Diretor de Secretaria/Secretário Jurídico;12166;Requisição de Pagamento de Precatório Minutada
Escrivão/Diretor de Secretaria/Secretário Jurídico;12170;Requisição de pagamento de precatório cancelada
Escrivão/Diretor de Secretaria/Secretário Jurídico;12167;Requisição de pagamento de precatório enviada ao tribunal
Escrivão/Diretor de Secretaria/Secretário Jurídico;12169;Requisição de pagamento de precatório paga
Escrivão/Diretor de Secretaria/Secretário Jurídico;12168;Requisição de pagamento de precatório preparada para envio
Escrivão/Diretor de Secretaria/Secretário Jurídico;12171;Retificado o precatório
Escrivão/Diretor de Secretaria/Secretário Jurídico;12172;Requisição de pagamento de precatório suspensa
Escrivão/Diretor de Secretaria/Secretário Jurídico;14738;Classe retificada de #{classe_anterior} para #{classe_nova}
Escrivão/Diretor de Secretaria/Secretário Jurídico;11983;Retificado o movimento #{movimento_retificado}
Escrivão/Diretor de Secretaria/Secretário Jurídico;15102;Sessão Restaurativa #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.
Escrivão/Diretor de Secretaria/Secretário Jurídico;848;Transitado em Julgado em #{data}
Oficial de Justiça;104;Oficial de Justiça
Oficial de Justiça;105;devolvido o
Oficial de Justiça;106;Mandado devolvido #{resultado}
Oficial de Justiça;112;Ofício Devolvido #{resultado}
Oficial de Justiça;115;recebido o mandado
Oficial de Justiça;985;Recebido o Mandado para Cumprimento
Oficial de Justiça;987;Recebido o Ofício para Entrega
