quem_faz;nome;detalhamento;;complemento;codigo
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Ações de secretário;;;48
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Apensamento;;;135
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Arquivamento;;;861
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Arquivamento Definitivo;Definitivo;;246
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Arquivamento Provisório;Provisório;;245
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Ato cumprido pela parte ou interessado;;;12292
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Ato cumprido pela parte ou interessado;Ato cumprido pela parte ou interessado (sem atributo);;12293
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Ato cumprido pela parte ou interessado Comparecimento do Réu/Apenado;Comparecimento do Réu/Apenado;;12294
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Ato cumprido pela parte ou interessado Depósito de Bens/Dinheiro;Depósito de Bens/Dinheiro;;12295
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Ato ordinatório;;;11383
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Audiência;;;970
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Audiência Audiência do art. 334 CPC;Audiência do art. 334 CPC;;12624
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Audiência de Conciliação;de Conciliação;;12740
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Audiência de Instrução;de Instrução;;12749
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Audiência de Instrução e Julgamento;de Instrução e Julgamento;;12750
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Audiência de Julgamento;de Julgamento;;12751
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Audiência de Mediação;de Mediação;;12752
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Audiência Preliminar;Preliminar;;12753
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Autos restaurados;;;12260
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Bens Apreendidos;;;1052
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Bens Apreendidos Cadastramento;Cadastramento;;1055
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Bens Apreendidos Destinação;Destinação;;1053
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Bens Apreendidos Destinação Parcial;Destinação Parcial;;1054
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Cancelamento;;;12289
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Cancelamento De Liquidação, Cumprimento de Sentença ou Execução por Nulidade da Fase de Conhecimento ;De Liquidação, Cumprimento de Sentença ou Execução por Nulidade da Fase de Conhecimento ;;15168
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Cancelamento Documento Expedido;Documento Expedido;;12290
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Cancelamento Movimentação processual;Movimentação processual;;12291
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Cancelamento de Distribuição;;;12186
Serventuário;Escrivão/Diretor de Secretaria/Secretário Jurídico;Citação;;;12284
