ds;y
2018-01-01;8
2018-01-02;73
2018-01-03;82
2018-01-04;122
2018-01-05;12
2018-01-06;11
2018-01-07;29
2018-01-08;510
2018-01-09;468
2018-01-10;389
2018-01-11;404
2018-01-12;396
2018-01-13;30
2018-01-14;9
2018-01-15;452
2018-01-16;389
2018-01-17;357
2018-01-18;434
2018-01-19;390
2018-01-20;17
2018-01-21;19
2018-01-22;341
2018-01-23;453
2018-01-24;359
2018-01-25;412
2018-01-26;326
2018-01-27;33
2018-01-28;30
2018-01-29;402
2018-01-30;409
2018-01-31;427
2018-02-01;482
2018-02-02;283
2018-02-03;21
2018-02-04;22
2018-02-05;292
2018-02-06;305
2018-02-07;348
2018-02-08;480
2018-02-09;309
2018-02-10;19
2018-02-11;14
2018-02-12;28
2018-02-13;33
2018-02-14;36
2018-02-15;398
2018-02-16;347
2018-02-17;31
2018-02-18;20
2018-02-19;365
2018-02-20;398
2018-02-21;346
2018-02-22;515
2018-02-23;347
2018-02-24;14
2018-02-25;32
2018-02-26;395
2018-02-27;357
2018-02-28;401
2018-03-01;425
2018-03-02;301
2018-03-03;38
2018-03-04;25
2018-03-05;363
2018-03-06;455
2018-03-07;415
2018-03-08;305
2018-03-09;290
2018-03-10;21
2018-03-11;27
2018-03-12;450
2018-03-13;431
2018-03-14;423
2018-03-15;366
2018-03-16;409
2018-03-17;11
2018-03-18;41
2018-03-19;428
2018-03-20;338
2018-03-21;327
2018-03-22;392
2018-03-23;376
2018-03-24;51
2018-03-25;42
2018-03-26;557
2018-03-27;331
2018-03-28;134
2018-03-29;102
2018-03-30;27
2018-03-31;21
2018-04-01;20
2018-04-02;384
2018-04-03;429
2018-04-04;392
2018-04-05;410
2018-04-06;316
2018-04-07;105
2018-04-08;31
2018-04-09;368
2018-04-10;399
2018-04-11;371
2018-04-12;325
2018-04-13;298
2018-04-14;66
2018-04-15;37
2018-04-16;369
2018-04-17;372
2018-04-18;395
2018-04-19;328
2018-04-20;319
2018-04-21;39
2018-04-22;22
2018-04-23;452
2018-04-24;435
2018-04-25;430
2018-04-26;446
2018-04-27;321
2018-04-28;62
2018-04-29;37
2018-04-30;331
2018-05-01;33
2018-05-02;372
2018-05-03;403
2018-05-04;320
2018-05-05;8
2018-05-06;37
2018-05-07;445
2018-05-08;402
2018-05-09;437
2018-05-10;432
2018-05-11;315
2018-05-12;31
2018-05-13;26
2018-05-14;401
2018-05-15;366
2018-05-16;445
2018-05-17;435
2018-05-18;342
2018-05-19;29
2018-05-20;21
2018-05-21;347
2018-05-22;472
2018-05-23;437
2018-05-24;384
2018-05-25;362
2018-05-26;27
2018-05-27;29
2018-05-28;433
2018-05-29;419
2018-05-30;406
2018-05-31;41
2018-06-01;133
2018-06-02;24
2018-06-03;23
2018-06-04;403
2018-06-05;512
2018-06-06;416
2018-06-07;365
2018-06-08;330
2018-06-09;19
2018-06-10;10
2018-06-11;404
2018-06-12;417
2018-06-13;1135
2018-06-14;420
2018-06-15;366
2018-06-16;28
2018-06-17;17
2018-06-18;392
2018-06-19;414
2018-06-20;454
2018-06-21;365
2018-06-22;36
2018-06-23;38
2018-06-24;36
2018-06-25;465
2018-06-26;401
2018-06-27;219
2018-06-28;402
2018-06-29;41
2018-06-30;38
2018-07-01;27
2018-07-02;141
2018-07-03;468
2018-07-04;415
2018-07-05;438
2018-07-06;258
2018-07-07;45
2018-07-08;46
2018-07-09;362
2018-07-10;430
2018-07-11;447
2018-07-12;379
2018-07-13;332
2018-07-14;24
2018-07-15;21
2018-07-16;394
2018-07-17;423
2018-07-18;371
2018-07-19;400
2018-07-20;481
2018-07-21;24
2018-07-22;16
2018-07-23;384
2018-07-24;448
2018-07-25;447
2018-07-26;418
2018-07-27;329
2018-07-28;19
2018-07-29;21
2018-07-30;617
2018-07-31;622
2018-08-01;668
2018-08-02;817
2018-08-03;675
2018-08-04;275
2018-08-05;270
2018-08-06;703
2018-08-07;699
2018-08-08;1519
2018-08-09;697
2018-08-10;1246
2018-08-11;254
2018-08-12;23
2018-08-13;230
2018-08-14;367
2018-08-15;362
2018-08-16;458
2018-08-17;307
2018-08-18;30
2018-08-19;51
2018-08-20;492
2018-08-21;288
2018-08-22;396
2018-08-23;383
2018-08-24;319
2018-08-25;418
2018-08-26;1009
2018-08-27;526
2018-08-28;804
2018-08-29;411
2018-08-30;334
2018-08-31;368
2018-09-01;41
2018-09-02;19
2018-09-03;321
2018-09-04;351
2018-09-05;292
2018-09-06;313
2018-09-07;38
2018-09-08;33
2018-09-09;28
2018-09-10;326
2018-09-11;330
2018-09-12;349
2018-09-13;327
2018-09-14;305
2018-09-15;33
2018-09-16;32
2018-09-17;338
2018-09-18;388
2018-09-19;329
2018-09-20;319
2018-09-21;237
2018-09-22;9
2018-09-23;32
2018-09-24;381
2018-09-25;348
2018-09-26;394
2018-09-27;329
2018-09-28;339
2018-09-29;61
2018-09-30;51
2018-10-01;411
2018-10-02;494
2018-10-03;74
2018-10-04;283
2018-10-05;273
2018-10-06;24
2018-10-07;32
2018-10-08;317
2018-10-09;351
2018-10-10;304
2018-10-11;330
2018-10-12;1
2018-10-13;13
2018-10-14;45
2018-10-15;396
2018-10-16;322
2018-10-17;341
2018-10-18;633
2018-10-19;1067
2018-10-20;585
2018-10-21;637
2018-10-22;1108
2018-10-23;521
2018-10-24;525
2018-10-25;907
2018-10-26;407
2018-10-27;10
2018-10-28;9
2018-10-29;824
2018-10-30;639
2018-10-31;576
2018-11-01;294
2018-11-02;910
2018-11-03;836
2018-11-04;1090
2018-11-05;1259
2018-11-06;1051
2018-11-07;406
2018-11-08;330
2018-11-09;945
2018-11-10;85
2018-11-11;89
2018-11-12;482
2018-11-13;1086
2018-11-14;327
2018-11-15;686
2018-11-16;506
2018-11-17;315
2018-11-18;76
2018-11-19;334
2018-11-20;341
2018-11-21;224
2018-11-22;334
2018-11-23;260
2018-11-24;61
2018-11-25;47
2018-11-26;372
2018-11-27;359
2018-11-28;365
2018-11-29;299
2018-11-30;556
2018-12-01;37
2018-12-02;17
2018-12-03;360
2018-12-04;319
2018-12-05;298
2018-12-06;280
2018-12-07;243
2018-12-08;38
2018-12-09;944
2018-12-10;883
2018-12-11;473
2018-12-12;496
2018-12-13;553
2018-12-14;1170
2018-12-15;896
2018-12-16;51
2018-12-17;502
2018-12-18;553
2018-12-19;559
2018-12-20;531
2018-12-21;936
2018-12-22;1775
2018-12-23;958
2018-12-24;967
2018-12-25;67
2018-12-26;225
2018-12-27;196
2018-12-28;268
2018-12-29;69
2018-12-30;157
2018-12-31;101
